,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
0,642868,Paul,Christophe,Hauts-de-France,Nord,14,Fonctionnaire de catégorie A,Horizons et apparentés,HOR
1,719146,Jean-Félix,Acquaviva,Corse,Haute-Corse,2,Cadre,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
2,795692,William,Martinet,Ile-de-France,Yvelines,11,Cadre administratif,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
3,795050,Astrid,Panosyan-Bouvet,Ile-de-France,Paris,4,Cadre administratif et commercial d'entreprise,Renaissance,RE
4,719412,Sandrine,Le Feur,Bretagne,Finistère,4,Agriculteur-propriétaire exploitant,Renaissance,RE
5,720414,Patrice,Perrot,Bourgogne-Franche-Comté,Nièvre,2,Industriel-Chef d'entreprise,Renaissance,RE
6,721960,Danièle,Obono,Ile-de-France,Paris,17,Bibliothécaire,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
7,794938,Idir,Boumertit,Auvergne-Rhône-Alpes,Rhône,14,Employé administratif d'entreprise,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
8,795950,David,Amiel,Ile-de-France,Paris,13,Sans profession déclarée,Renaissance,RE
9,720764,Florence,Lasserre,Nouvelle-Aquitaine,Pyrénées-Atlantiques,5,Employée du secteur privé,Démocrate (MoDem et Indépendants),Dem
10,793608,Katiana,Levavasseur,Normandie,Eure,2,Ouvrier de type industriel,Rassemblement National,RN
11,793190,Laurence,Heydel Grillere,Auvergne-Rhône-Alpes,Ardèche,2,Ingénieur agronome,Renaissance,RE
12,795828,Johnny,Hajjar,Martinique,Martinique,3,Professeur du second degré,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
13,793548,Caroline,Colombier,Nouvelle-Aquitaine,Charente,3,Avocate / Ancien cadre ,Rassemblement National,RN
14,720976,Max,Mathiasin,Guadeloupe,Guadeloupe,3,Fonction publique territoriale,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
15,793872,Nathalie,Oziol,Occitanie,Hérault,2,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
16,720822,Bruno,Bilde,Hauts-de-France,Pas-de-Calais,12,Juriste,Rassemblement National,RN
17,718926,Pierre,Dharréville,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,Employé (secteur privé),Gauche démocrate et républicaine - NUPES,GDR - NUPES
18,722102,Annie,Vidal,Normandie,Seine-Maritime,2,Retraitée de la fonction publique hospitalière,Renaissance,RE
19,722292,Thomas,Rudigoz,Auvergne-Rhône-Alpes,Rhône,1,Sans profession déclarée,Renaissance,RE
20,720362,Belkhir,Belhaddad,Grand Est,Moselle,1,Industriel-Chef d'entreprise,Renaissance,RE
21,793672,Christine,Loir,Normandie,Eure,1,Profession intermédiaire de la santé et du travail social,Rassemblement National,RN
22,718884,Valérie,Bazin-Malgras,Grand Est,Aube,2,Commerçante,Les Républicains,LR
23,609590,Valérie,Rabault,Occitanie,Tarn-et-Garonne,1,Ingénieure,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
24,608416,Patrick,Hetzel,Grand Est,Bas-Rhin,7,Professeur des Universités,Les Républicains,LR
25,605694,Olivier,Falorni,Nouvelle-Aquitaine,Charente-Maritime,1,Professeur du secondaire,Démocrate (MoDem et Indépendants),Dem
26,794530,Matthieu,Marchio,Hauts-de-France,Nord,16,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
27,794114,Emmanuel,Mandon,Auvergne-Rhône-Alpes,Loire,3,Conseiller d'insertion professionnelle,Démocrate (MoDem et Indépendants),Dem
28,643192,Chantal,Jourdan,Normandie,Orne,1,Psychologue,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
29,793500,Benoît,Bordat,Bourgogne-Franche-Comté,Côte-d'Or,2,Conseiller foncier agricole,Renaissance,RE
30,721678,Robin,Reda,Ile-de-France,Essonne,7,,Renaissance,RE
31,720370,Ludovic,Mendes,Grand Est,Moselle,2,Cadre supérieur (secteur privé),Renaissance,RE
32,791812,Sophia,Chikirou,Ile-de-France,Paris,6,Chef d'entreprise de 10 salariés ou plus,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
33,720430,Ugo,Bernalicis,Hauts-de-France,Nord,2,Fonctionnaire de catégorie A,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
34,722054,Nadia,Hai,Ile-de-France,Yvelines,7,Conseil en gestion de patrimoine,Renaissance,RE
35,720022,Michel,Lauzzana,Nouvelle-Aquitaine,Lot-et-Garonne,1,Médecin,Renaissance,RE
36,793314,Alexandra,Masson,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,4,Profession libérale,Rassemblement National,RN
37,795966,Stéphane,Rambaud,Provence-Alpes-Côte d'Azur,Var,3,Retraité de la police nationale,Rassemblement National,RN
38,795508,Émilie,Chandler,Ile-de-France,Val-d'Oise,1,Profession libérale,Renaissance,RE
39,793416,Freddy,Sertin,Normandie,Calvados,6,Directeur Général d'un établissement de santé,Renaissance,RE
40,794870,Sylvie,Ferrer,Occitanie,Hautes-Pyrénées,1,,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
41,793624,Philippe,Brun,Normandie,Eure,4,Magistrat administratif,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
42,608016,Véronique,Louwagie,Normandie,Orne,2,Expert-comptable,Les Républicains,LR
43,643134,Isabelle,Valentin,Auvergne-Rhône-Alpes,Haute-Loire,1,Salariée agricole,Les Républicains,LR
44,718710,Pascale,Boyer,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1,"Contremaître, agent de maîtrise",Renaissance,RE
45,722142,François,Ruffin,Hauts-de-France,Somme,1,Reporter,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
46,794458,Martine,Etienne,Grand Est,Meurthe-et-Moselle,3,Ancien employé,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
47,795318,Louis,Boyard,Ile-de-France,Val-de-Marne,3,"Elève, étudiant",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
48,608172,Christine,Pires Beaune,Auvergne-Rhône-Alpes,Puy-de-Dôme,2,Fonctionnaire de catégorie A,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
49,793452,Hendrik,Davi,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,5,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
50,795636,Benjamin,Lucas,Ile-de-France,Yvelines,8,,Écologiste - NUPES,Ecolo - NUPES
51,719006,Fabrice,Le Vigoureux,Normandie,Calvados,1,Professeur des Universités,Renaissance,RE
52,721852,Marie,Lebec,Ile-de-France,Yvelines,4,Consultante en affaires publiques,Renaissance,RE
53,720230,Lise,Magnier,Grand Est,Marne,4,cadre territorial,Horizons et apparentés,HOR
54,793238,Christophe,Barthès,Occitanie,Aude,1,Agriculteur sur moyenne exploitation,Rassemblement National,RN
55,774954,Anne-Laure,Blin,Pays de la Loire,Maine-et-Loire,3,Juriste,Les Républicains,LR
56,793174,Yannick,Monnet,Auvergne-Rhône-Alpes,Allier,1,Cadre de la fonction publique,Gauche démocrate et républicaine - NUPES,GDR - NUPES
57,267766,Guy,Bricout,Hauts-de-France,Nord,18,Retraité fonction publique (hors enseignement),"Libertés, Indépendants, Outre-mer et Territoires",LIOT
58,721296,Guillaume,Gouffier Valente,Ile-de-France,Val-de-Marne,6,Manager public,Renaissance,RE
59,794118,Antoine,Vermorel-Marques,Auvergne-Rhône-Alpes,Loire,5,Conseiller parlementaire,Les Républicains,LR
60,793508,Hubert,Brigand,Bourgogne-Franche-Comté,Côte-d'Or,4,Ancienne profession intermédiaire,Les Républicains,LR
61,721880,Marie,Guévenoux,Ile-de-France,Essonne,9,Collaborateur politique,Renaissance,RE
62,720446,Brigitte,Liso,Hauts-de-France,Nord,4,Commerçant,Renaissance,RE
63,794066,Frédéric,Mathieu,Bretagne,Ille-et-Vilaine,1,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
64,642847,Thibault,Bazin,Grand Est,Meurthe-et-Moselle,4,Autre cadre (secteur privé),Les Républicains,LR
65,795192,Steve,Chailloux,Polynésie française,Polynésie Française,2,"Professeur, profession scientifique",Gauche démocrate et républicaine - NUPES,GDR - NUPES
66,793948,Nicolas,Thierry,Nouvelle-Aquitaine,Gironde,2,Consultant en développement durable,Écologiste - NUPES,Ecolo - NUPES
67,712014,Vincent,Ledoux,Hauts-de-France,Nord,10,Professeur,Renaissance,RE
68,793330,Bryan,Masson,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6,Profession intermédiaire administrative de la fonction publique,Rassemblement National,RN
69,609332,Olivier,Faure,Ile-de-France,Seine-et-Marne,11,Cadre supérieur (secteur privé),Socialistes et apparentés (membre de lintergroupe NUPES),SOC
70,720138,Laetitia,Saint-Paul,Pays de la Loire,Maine-et-Loire,4,Officier de l'armée de Terre,Renaissance,RE
71,795046,Caroline,Yadan,Ile-de-France,Paris,3,avocat,Renaissance,RE
72,721004,Amélia,Lakrafi,Français établis hors de France,Français établis hors de France,10,Chef d'entreprise,Renaissance,RE
73,719512,Corinne,Vignon,Occitanie,Haute-Garonne,3,Cadre supérieur (secteur privé),Renaissance,RE
74,330240,Éric,Ciotti,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1,,Les Républicains,LR
75,795330,Eléonore,Caroit,Français établis hors de France,Français établis hors de France,2,Profession libérale,Renaissance,RE
76,794702,Delphine,Lingemann,Auvergne-Rhône-Alpes,Puy-de-Dôme,4,Chef d'entreprise - Enseignante associée université,Démocrate (MoDem et Indépendants),Dem
77,342384,Élisa,Martin,Auvergne-Rhône-Alpes,Isère,3,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
78,721816,Ian,Boucard,Bourgogne-Franche-Comté,Territoire de Belfort,1,Autre cadre (secteur privé),Les Républicains,LR
79,721410,Émilie,Bonnivard,Auvergne-Rhône-Alpes,Savoie,3,Cadre à la Caisse des Dépôts et Consignations,Les Républicains,LR
80,793254,Julien,Rancoule,Occitanie,Aude,3,Profession libérale,Rassemblement National,RN
81,793816,Mélanie,Thomin,Bretagne,Finistère,6,"Professeur, profession scientifique",Socialistes et apparentés (membre de lintergroupe NUPES),SOC
82,796034,Frank,Giletti,Provence-Alpes-Côte d'Azur,Var,6,Fonctionnaire,Rassemblement National,RN
83,721170,Stéphane,Vojetta,Français établis hors de France,Français établis hors de France,5,Entrepreneur,Renaissance,RE
84,794130,Andy,Kerbrat,Pays de la Loire,Loire-Atlantique,2,Chargé d'assitance automobile,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
85,794954,Emeric,Salmon,Bourgogne-Franche-Comté,Haute-Saône,2,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
86,342196,Claudia,Rouaux,Bretagne,Ille-et-Vilaine,3,Gestionnaire à l'INRAE,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
87,794194,Mathilde,Desjonquères,Centre-Val de Loire,Loir-et-Cher,1,"Directrice Culture, Patrimoine et Sport",Démocrate (MoDem et Indépendants),Dem
88,795844,Karen,Erodi,Occitanie,Tarn,2,Profession libérale,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
89,774958,Gérard,Leseul,Normandie,Seine-Maritime,5,Cadre d'entreprise / enseignant universitaire,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
90,1008,Alain,David,Nouvelle-Aquitaine,Gironde,4,Ingénieur,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
91,794004,Servane,Hugues,Auvergne-Rhône-Alpes,Isère,1,Professeur des écoles,Renaissance,RE
92,793884,Sébastien,Rome,Occitanie,Hérault,4,"Professeur des écoles, instituteur et assimilé",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
93,796110,Joris,Hébrard,Provence-Alpes-Côte d'Azur,Vaucluse,1,Profession libérale,Rassemblement National,RN
94,719930,Boris,Vallaud,Nouvelle-Aquitaine,Landes,3,Fonctionnaire de catégorie A,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
95,795010,Marie-Charlotte,Garin,Auvergne-Rhône-Alpes,Rhône,3,Collaboratrice politique en collectivité locale,Écologiste - NUPES,Ecolo - NUPES
96,719528,Jean-François,Portarrieu,Occitanie,Haute-Garonne,5,Journaliste,Horizons et apparentés,HOR
97,793122,Romain,Daubié,Auvergne-Rhône-Alpes,Ain,2,Avocat,Démocrate (MoDem et Indépendants),Dem
98,721522,Xavier,Batut,Normandie,Seine-Maritime,10,Autre cadre (secteur privé),Renaissance,RE
99,793688,Pascale,Martin,Nouvelle-Aquitaine,Dordogne,1,Ancien cadre,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
100,795908,Yannick,Chenevard,Provence-Alpes-Côte d'Azur,Var,1,Profession libérale,Renaissance,RE
101,795270,Marie-Agnès,Poussier-Winsback,Normandie,Seine-Maritime,9,Enseignante,Horizons et apparentés,HOR
102,794022,Jérémie,Iordanoff,Auvergne-Rhône-Alpes,Isère,5,Artiste-peintre,Écologiste - NUPES,Ecolo - NUPES
103,722336,Vincent,Thiébaut,Grand Est,Bas-Rhin,9,Autre cadre (secteur privé),Horizons et apparentés,HOR
104,719100,Jean-Philippe,Ardouin,Nouvelle-Aquitaine,Charente-Maritime,3,Chef d'entreprise,Renaissance,RE
105,721426,Véronique,Riotton,Auvergne-Rhône-Alpes,Haute-Savoie,1,Consultante-Coach en Ressources Humaines,Renaissance,RE
106,720386,Fabien,Di Filippo,Grand Est,Moselle,4,Ancien cadre du secteur privé,Les Républicains,LR
107,610002,Eva,Sas,Ile-de-France,Paris,8,Cadre supérieur du secteur privé,Écologiste - NUPES,Ecolo - NUPES
108,719558,Erwan,Balanant,Bretagne,Finistère,8,Photographe et réalisateur,Démocrate (MoDem et Indépendants),Dem
109,796050,Philippe,Schreck,Provence-Alpes-Côte d'Azur,Var,8,Profession libérale ,Rassemblement National,RN
110,722390,Josiane,Corneloup,Bourgogne-Franche-Comté,Saône-et-Loire,2,Pharmacien,Les Républicains,LR
111,795982,Aurélien,Saintoul,Ile-de-France,Hauts-de-Seine,11,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
112,794886,Sophie,Blanc,Occitanie,Pyrénées-Orientales,1,Profession libérale,Rassemblement National,RN
113,719372,Guillaume,Kasbarian,Centre-Val de Loire,Eure-et-Loir,1,Cadre supérieur (secteur privé),Renaissance,RE
114,795934,Claire,Guichard,Ile-de-France,Hauts-de-Seine,10,Sans profession déclarée,Renaissance,RE
115,721750,Céline,Calvez,Ile-de-France,Hauts-de-Seine,5,Consultante communication,Renaissance,RE
116,721932,Marie-France,Lorho,Provence-Alpes-Côte d'Azur,Vaucluse,4,Déléguée médicale,Rassemblement National,RN
117,720668,Emmanuel,Blairy,Hauts-de-France,Pas-de-Calais,1,Fonctionnaire territorial,Rassemblement National,RN
118,346054,Emmanuel,Maquet,Hauts-de-France,Somme,3,Agent général d'assurances,Les Républicains,LR
119,794470,Félicie,Gérard,Hauts-de-France,Nord,7,"Contremaître, agent de maîtrise",Horizons et apparentés,HOR
120,719608,Emmanuelle,Ménard,Occitanie,Hérault,6,Journaliste et autre média,Non inscrit,NI
121,793464,Sébastien,Delogu,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,7,Sans profession,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
122,642988,Hervé,de Lépinau,Provence-Alpes-Côte d'Azur,Vaucluse,3,Avocat,Rassemblement National,RN
123,795652,Alexis,Izard,Ile-de-France,Essonne,3,Cadre administratif et commercial d'entreprise,Renaissance,RE
124,721442,Christelle,Petex-Levet,Auvergne-Rhône-Alpes,Haute-Savoie,3,Cadre administratif et commercial d'entreprise,Les Républicains,LR
125,793772,Christophe,Bex,Occitanie,Haute-Garonne,7,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
126,607193,Sophie,Errante,Pays de la Loire,Loire-Atlantique,10,Industriel-Chef d'entreprise,Renaissance,RE
127,719266,Jean-Pierre,Cubertafon,Nouvelle-Aquitaine,Dordogne,3,Retraité des professions libérales,Démocrate (MoDem et Indépendants),Dem
128,795920,Prisca,Thevenot,Ile-de-France,Hauts-de-Seine,8,collaboratrice parlementaire,Renaissance,RE
129,794830,Hubert,Ott,Grand Est,Haut-Rhin,2,"Professeur, profession scientifique",Démocrate (MoDem et Indépendants),Dem
130,793572,Christophe,Plassard,Nouvelle-Aquitaine,Charente-Maritime,5,Profession libérale,Horizons et apparentés,HOR
131,720692,Fabien,Roussel,Hauts-de-France,Nord,20,Attaché parlementaire,Gauche démocrate et républicaine - NUPES,GDR - NUPES
132,793520,Mickaël,Cosson,Bretagne,Côtes-d'Armor,1,Chargé d'opérations urbanisme,Démocrate (MoDem et Indépendants),Dem
133,643143,Christian,Baptiste,Guadeloupe,Guadeloupe,2,Directeur d'association,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
134,794418,Florence,Goulet,Grand Est,Meuse,2,Cadre de la fonction publique,Rassemblement National,RN
135,795084,Rodrigo,Arenas,Ile-de-France,Paris,10,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
136,719436,Nicolas,Meizonnet,Occitanie,Gard,2,Ingénieur en informatique ,Rassemblement National,RN
137,334116,Jacqueline,Maquet,Hauts-de-France,Pas-de-Calais,2,Directrice de mission,Renaissance,RE
138,719024,Christophe,Blanchet,Normandie,Calvados,4,Commerçant,Démocrate (MoDem et Indépendants),Dem
139,608695,Cécile,Untermaier,Bourgogne-Franche-Comté,Saône-et-Loire,4,Fonctionnaire des grands corps de l'État,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
140,720286,Caroline,Fiat,Grand Est,Meurthe-et-Moselle,6,Salariée du secteur médical,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
141,793342,Alexandra,Martin,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,8,Employé civil et agent de service de la fonction publique,Les Républicains,LR
142,795990,Maud,Bregeon,Ile-de-France,Hauts-de-Seine,13,Ingénieur et cadre technique d'entreprise,Renaissance,RE
143,267324,Jean-Jacques,Gaultier,Grand Est,Vosges,4,Médecin biologiste,Les Républicains,LR
144,720154,Nicole,Dubré-Chirat,Pays de la Loire,Maine-et-Loire,6,Retraitée de la fonction publique hospitalière et chargée de formation,Renaissance,RE
145,721632,Patricia,Lemoine,Ile-de-France,Seine-et-Marne,5,Directrice de cabinet,Renaissance,RE
146,721336,Blandine,Brocard,Auvergne-Rhône-Alpes,Rhône,5,Employée (secteur privé),Démocrate (MoDem et Indépendants),Dem
147,719382,Luc,Lamirault,Centre-Val de Loire,Eure-et-Loir,3,chef d'entreprise,Horizons et apparentés,HOR
148,721828,Fanta,Berete,Ile-de-France,Paris,12,Directrice projets,Renaissance,RE
149,795864,Pierre,Cazeneuve,Ile-de-France,Hauts-de-Seine,7,Cadre de la fonction publique,Renaissance,RE
150,794770,Michèle,Martinez,Occitanie,Pyrénées-Orientales,4,Sans profession déclarée,Rassemblement National,RN
151,795786,Yaël,Menache,Hauts-de-France,Somme,5,Commerciale,Rassemblement National,RN
152,794486,Violette,Spillebout,Hauts-de-France,Nord,9,Cadre administratif et commercial d'entreprise,Renaissance,RE
153,720720,Josy,Poueyto,Nouvelle-Aquitaine,Pyrénées-Atlantiques,1,Retraitée de la fonction publique (hors enseignement),Démocrate (MoDem et Indépendants),Dem
154,793476,Francis,Dubois,Nouvelle-Aquitaine,Corrèze,1,Technicien,Les Républicains,LR
155,795664,Paul,Midy,Ile-de-France,Essonne,5,Chef d'entreprise de 10 salariés ou plus,Renaissance,RE
156,794582,Kévin,Pfeffer,Grand Est,Moselle,6,Permanent politique,Rassemblement National,RN
157,795588,Farida,Amrani,Ile-de-France,Essonne,1,Cadre de la fonction publique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
158,720074,Caroline,Janvier,Centre-Val de Loire,Loiret,2,Autre cadre (secteur privé),Renaissance,RE
159,793716,Laurent,Croizier,Bourgogne-Franche-Comté,Doubs,1,"Professeur des écoles, instituteur et assimilé",Démocrate (MoDem et Indépendants),Dem
160,793262,Laurent,Alexandre,Occitanie,Aveyron,2,Ouvrier qualifié de type industriel,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
161,721710,Michèle,Peyron,Ile-de-France,Seine-et-Marne,9,Autre cadre (secteur privé),Renaissance,RE
162,721314,Raphaël,Schellenberger,Grand Est,Haut-Rhin,4,Attaché Parlementaire,Les Républicains,LR
163,783457,Victor,Habert-Dassault,Hauts-de-France,Oise,1,Avocat,Les Républicains,LR
164,794146,Julie,Laernoes,Pays de la Loire,Loire-Atlantique,4,Ancien cadre,Écologiste - NUPES,Ecolo - NUPES
165,1874,Marc,Le Fur,Bretagne,Côtes-d'Armor,3,Sous-préfet,Les Républicains,LR
166,795730,Bastien,Marchive,Nouvelle-Aquitaine,Deux-Sèvres,1,Juriste,Renaissance,RE
167,794434,Christophe,Bentz,Grand Est,Haute-Marne,1,"Professeur, profession scientifique",Rassemblement National,RN
168,794658,Philippe,Fait,Hauts-de-France,Pas-de-Calais,4,"Professeur des écoles, instituteur et assimilé",Renaissance,RE
169,720334,Jimmy,Pahun,Bretagne,Morbihan,2,Navigateur,Démocrate (MoDem et Indépendants),Dem
170,719600,Éric,Poulliat,Nouvelle-Aquitaine,Gironde,6,Fonctionnaire de catégorie B,Renaissance,RE
171,795068,Clara,Chassaniol,Ile-de-France,Paris,7,Collaboratrice parlementaire,Renaissance,RE
172,340343,Hervé,Saulignac,Auvergne-Rhône-Alpes,Ardèche,1,Cadre (entreprises publiques),Socialistes et apparentés (membre de lintergroupe NUPES),SOC
173,421348,André,Villiers,Bourgogne-Franche-Comté,Yonne,2,Agriculteur-propriétaire exploitant,Horizons et apparentés,HOR
174,266797,Philippe,Gosselin,Normandie,Manche,1,Maître de conférences à Sciences Po,Les Républicains,LR
175,794914,Alexandre,Vincendet,Auvergne-Rhône-Alpes,Rhône,7,Elu local,Les Républicains,LR
176,718850,Pierre,Cordier,Grand Est,Ardennes,2,Fonctionnaire de catégorie A,Les Républicains,LR
177,794198,Roger,Chudeau,Centre-Val de Loire,Loir-et-Cher,2,Inspecteur général de l'éducation nationale honoraire ,Rassemblement National,RN
178,793134,Jérôme,Buisson,Auvergne-Rhône-Alpes,Ain,4,Professeur d'italien,Rassemblement National,RN
179,346782,Philippe,Juvin,Ile-de-France,Hauts-de-Seine,3,Professeur de médecine,Les Républicains,LR
180,795350,Frédéric,Valletoux,Ile-de-France,Seine-et-Marne,2,Profession de l'information,Horizons et apparentés,HOR
181,332228,Thierry,Benoit,Bretagne,Ille-et-Vilaine,6,Représentant de commerce,Horizons et apparentés,HOR
182,720684,Pierre-Henri,Dumont,Hauts-de-France,Pas-de-Calais,7,Collaborateur parlementaire,Les Républicains,LR
183,605782,Laurent,Marcangeli,Corse,Corse-du-Sud,1,Avocat,Horizons et apparentés,HOR
184,794598,Laurent,Jacobelli,Grand Est,Moselle,8,"Profession de l'information, des arts et des spectacles",Rassemblement National,RN
185,794038,Yannick,Neuder,Auvergne-Rhône-Alpes,Isère,7,Cardiologue,Les Républicains,LR
186,795604,Estelle,Folest,Ile-de-France,Val-d'Oise,6,Directrice de la communication,Démocrate (MoDem et Indépendants),Dem
187,794322,Thomas,Ménagé,Centre-Val de Loire,Loiret,4,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
188,720846,Bastien,Lachaud,Ile-de-France,Seine-Saint-Denis,6,Professeur du secondaire et technique,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
189,793278,Sabrina,Agresti-Roubache,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,1,Profession libérale,Renaissance,RE
190,721474,Stéphane,Viry,Grand Est,Vosges,1,Avocat,Les Républicains,LR
191,721270,Stéphane,Peu,Ile-de-France,Seine-Saint-Denis,2,Employé,Gauche démocrate et républicaine - NUPES,GDR - NUPES
