Name,Constituency,Party,Image Link
Franck Allisio,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793432.png
Bénédicte Auzanot,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796118.png
Philippe Ballard,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794562.png
Christophe Barthès,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793238.png
Romain Baubry,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793374.png
José Beaurain,Aisne (02),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793158.png
Christophe Bentz,Haute-Marne (52),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794434.png
Pierrick Berteloot,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794522.png
Bruno Bilde,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_720822.png
Emmanuel Blairy,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_720668.png
Sophie Blanc,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794886.png
Frédéric Boccaletti,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796042.png
Pascale Bordes,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793844.png
Jorys Bovet,Allier (03),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793182.png
Jérôme Buisson,Ain (01),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793134.png
Frédéric Cabrolier,Tarn (81),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795836.png
Victor Catteau,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794638.png
Sébastien Chenu,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_720468.png
Roger Chudeau,Loir-et-Cher (41),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794198.png
Caroline Colombier,Charente (16),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793548.png
Annick Cousin,Lot-et-Garonne (47),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794222.png
Nathalie Da Conceicao Carvalho,Essonne (91),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795644.png
Grégoire de Fournas,Gironde (33),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793964.png
Hervé de Lépinau,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_642988.png
Jocelyn Dessigny,Aisne (02),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793166.png
Edwige Diaz,Gironde (33),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793928.png
Sandrine Dogor-Such,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794762.png
Nicolas Dragon,Aisne (02),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793146.png
Christine Engrand,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794718.png
Frédéric Falcon,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793246.png
Thibaut François,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794538.png
Thierry Frappé,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794678.png
Anne-Sophie Frigout,Marne (51),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794286.png
Stéphanie Galzy,Hérault (34),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793892.png
Frank Giletti,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796034.png
Yoann Gillet,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793832.png
Christian Girard,Alpes-de-Haute-Provence (04),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793102.png
José Gonzalez,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793362.png
Florence Goulet,Meuse (55),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794418.png
Géraldine Grangier,Doubs (25),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793592.png
Daniel Grenon,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795540.png
Michel Guiniot,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794734.png
Jordan Guitton,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793218.png
Marine Hamelet,Tarn-et-Garonne (82),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795900.png
Joris Hébrard,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796110.png
Timothée Houssin,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793632.png
Laurent Jacobelli,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794598.png
Catherine Jaouen,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796114.png
Alexis Jolly,Isère (38),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794030.png
Hélène Laporte,Lot-et-Garonne (47),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794354.png
Laure Lavalette,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795912.png
Marine Le Pen,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_720614.png
Julie Lechanteux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796026.png
Gisèle Lelouis,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793290.png
Katiana Levavasseur,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793608.png
Christine Loir,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793672.png
Aurélien Lopez-Liguori,Hérault (34),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793904.png
Marie-France Lorho,Vaucluse (84),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_721932.png
Philippe Lottiaux,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795974.png
Alexandre Loubet,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794590.png
Matthieu Marchio,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794530.png
Michèle Martinez,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794770.png
Alexandra Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793314.png
Bryan Masson,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793330.png
Kévin Mauvieux,Eure (27),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793616.png
Nicolas Meizonnet,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_719436.png
Joëlle Mélin,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793354.png
Yaël Menache,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795786.png
Thomas Ménagé,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794322.png
Pierre Meurin,Gard (30),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793852.png
Serge Muller,Dordogne (24),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793696.png
Julien Odoul,Yonne (89),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795552.png
Mathilde Paris,Loiret (45),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794314.png
Caroline Parmentier,Pas-de-Calais (62),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794670.png
Kévin Pfeffer,Moselle (57),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794582.png
Lisette Pollet,Drôme (26),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793656.png
Stéphane Rambaud,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795966.png
Angélique Ranc,Aube (10),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793230.png
Julien Rancoule,Aude (11),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793254.png
Laurence Robert-Dehault,Haute-Marne (52),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794442.png
Béatrice Roullaud,Seine-et-Marne (77),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795410.png
Anaïs Sabatini,Pyrénées-Orientales (66),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794894.png
Alexandre Sabatou,Oise (60),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794570.png
Emeric Salmon,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794954.png
Philippe Schreck,Var (83),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_796050.png
Emmanuel Taché de la Pagerie,Bouches-du-Rhône (13),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793382.png
Jean-Philippe Tanguy,Somme (80),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_795778.png
Michaël Taverne,Nord (59),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794502.png
Lionel Tivoli,Alpes-Maritimes (06),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_793298.png
Antoine Villedieu,Haute-Saône (70),Rassemblement National (RN),https://datan.fr/assets/imgs/deputes_nobg/depute_794946.png
